project_id,donor,country_code_WB,region,colonial_relations,sector_code,office_presence,project_size_USD_calculated,startyear,completion_year,completion_year.1,evalyear,eval_lag,project_duration,external_evaluator,success
61,AfricanDB,AGO,Sub-Saharan Africa,No,310.0,0.0,6488027.5,2003,2011,2011,2011,28,3144,internal,1
65,AfricanDB,BEN,Sub-Saharan Africa,No,210.0,0.0,15112584.0,1996,2005,2005,2006,457,3202,internal,1
66,AfricanDB,BEN,Sub-Saharan Africa,No,160.0,0.0,1372915.8,1997,2006,2006,2009,960,3614,internal,0
67,AfricanDB,BEN,Sub-Saharan Africa,No,230.0,0.0,4886019.0,2000,2006,2006,2006,21,2288,internal,1
68,AfricanDB,BEN,Sub-Saharan Africa,No,160.0,0.0,8960464.0,1998,2006,2006,2009,994,3251,internal,0
69,AfricanDB,BEN,Sub-Saharan Africa,No,310.0,0.0,11413834.0,2000,2008,2008,2009,413,3020,internal,0
70,AfricanDB,BEN,Sub-Saharan Africa,No,430.0,0.0,22000000.0,2009,2010,2010,2012,367,596,internal,1
71,AfricanDB,BEN,Sub-Saharan Africa,No,160.0,0.0,12770902.0,2000,2010,2010,2011,442,3776,internal,0
72,AfricanDB,BEN,Sub-Saharan Africa,No,310.0,0.0,11981356.0,2002,2011,2011,2012,303,3601,internal,0
73,AfricanDB,BEN,Sub-Saharan Africa,No,160.0,0.0,2699518.3,2004,2011,2011,2011,138,2411,internal,1
74,AfricanDB,BEN,Sub-Saharan Africa,No,430.0,0.0,1937284.8,2005,2012,2012,2011,-472,2685,internal,0
75,AfricanDB,BEN,Sub-Saharan Africa,No,230.0,0.0,13150000.0,2004,2012,2012,2012,0,3276,internal,1
81,AfricanDB,BFA,Sub-Saharan Africa,No,430.0,0.0,25000000.0,2003,2004,2004,2006,675,344,internal,0
82,AfricanDB,BFA,Sub-Saharan Africa,No,430.0,0.0,15472744.0,2004,2006,2006,2006,-236,825,internal,0
83,AfricanDB,BFA,Sub-Saharan Africa,No,160.0,0.0,18347880.0,1997,2007,2007,2009,595,3769,internal,0
84,AfricanDB,BFA,Sub-Saharan Africa,No,430.0,0.0,2399360.3,2002,2008,2008,2009,539,2235,internal,0
85,AfricanDB,BFA,Sub-Saharan Africa,No,160.0,0.0,16753954.0,1999,2008,2008,2011,1065,3617,internal,0
86,AfricanDB,BFA,Sub-Saharan Africa,No,160.0,0.0,11110000.0,2000,2009,2009,2009,-102,3615,internal,1
87,AfricanDB,BFA,Sub-Saharan Africa,No,140.0,0.0,11980000.0,1998,2009,2009,2009,-15,4347,internal,1
88,AfricanDB,BFA,Sub-Saharan Africa,No,160.0,0.0,5269962.5,2003,2009,2009,2010,350,2113,internal,1
89,AfricanDB,BFA,Sub-Saharan Africa,No,310.0,0.0,12331831.0,2000,2009,2009,2010,387,3381,internal,0
90,AfricanDB,BFA,Sub-Saharan Africa,No,210.0,0.0,24722510.0,2001,2010,2010,2009,-410,3311,internal,0
91,AfricanDB,BFA,Sub-Saharan Africa,No,310.0,0.0,18182342.0,2001,2010,2010,2011,381,3318,internal,1
92,AfricanDB,BFA,Sub-Saharan Africa,No,210.0,0.0,18104940.0,2004,2010,2010,2011,350,2262,internal,0
93,AfricanDB,BFA,Sub-Saharan Africa,No,310.0,0.0,15841370.0,2003,2011,2011,2011,230,2962,internal,1
94,AfricanDB,BFA,Sub-Saharan Africa,No,430.0,0.0,10000000.0,2010,2011,2011,2011,16,343,internal,1
95,AfricanDB,BFA,Sub-Saharan Africa,No,140.0,0.0,23000580.0,2003,2011,2011,2012,428,2782,internal,1
96,AfricanDB,BFA,Sub-Saharan Africa,No,430.0,0.0,2740000.0,2006,2012,2012,2014,793,2053,internal,0
98,AfricanDB,BFA,Sub-Saharan Africa,No,430.0,0.0,50000000.0,2011,2013,2013,2014,244,827,internal,0
99,AfricanDB,BFA,Sub-Saharan Africa,No,140.0,0.0,565170.69,2008,2013,2013,2016,1372,1751,internal,1
100,AfricanDB,BFA,Sub-Saharan Africa,No,160.0,0.0,17891188.0,2003,2013,2013,2014,244,3773,internal,0
105,AfricanDB,BWA,Sub-Saharan Africa,No,430.0,0.0,1105501696.0,2009,2011,2011,2012,499,726,internal,1
108,AfricanDB,BDI,Sub-Saharan Africa,No,430.0,0.0,12000000.0,2008,2009,2009,2010,248,400,internal,1
109,AfricanDB,BDI,Sub-Saharan Africa,No,160.0,0.0,9518537.0,2005,2012,2012,2014,609,2910,internal,0
110,AfricanDB,BDI,Sub-Saharan Africa,No,430.0,0.0,8214885.5,2005,2012,2012,2006,-2029,2726,internal,0
111,AfricanDB,BDI,Sub-Saharan Africa,No,430.0,0.0,10000000.0,2010,2012,2012,2011,-381,765,internal,1
113,AfricanDB,BDI,Sub-Saharan Africa,No,430.0,0.0,7000000.0,2011,2013,2013,2012,-400,935,internal,1
117,AfricanDB,BDI,Sub-Saharan Africa,No,210.0,0.0,24100000.0,2011,2015,2015,2016,367,1741,internal,1
122,AfricanDB,CMR,Sub-Saharan Africa,No,430.0,0.0,20500000.0,2001,2004,2004,2005,221,1312,internal,0
123,AfricanDB,CMR,Sub-Saharan Africa,No,310.0,0.0,19598952.0,1998,2007,2007,2009,595,3310,internal,0
124,AfricanDB,CMR,Sub-Saharan Africa,No,430.0,0.0,3224947.3,2002,2010,2010,2010,-40,3241,internal,0
125,AfricanDB,CMR,Sub-Saharan Africa,No,310.0,0.0,16639807.0,2001,2010,2010,2010,110,3148,internal,0
126,AfricanDB,CMR,Sub-Saharan Africa,No,160.0,0.0,8926026.0,2000,2011,2011,2011,-215,4135,internal,0
127,AfricanDB,CMR,Sub-Saharan Africa,No,430.0,0.0,24918294.0,2007,2011,2011,2012,331,1465,internal,1
128,AfricanDB,CMR,Sub-Saharan Africa,No,160.0,0.0,11063539.0,2004,2012,2012,2014,630,3171,internal,0
132,AfricanDB,CMR,Sub-Saharan Africa,No,140.0,0.0,28490000.0,2006,2014,2014,2014,32,2998,internal,0
136,AfricanDB,CPV,Sub-Saharan Africa,No,430.0,0.0,2500000.0,2002,2003,2003,2007,1531,13,internal,0
137,AfricanDB,CPV,Sub-Saharan Africa,No,160.0,0.0,4213350.0,1997,2004,2004,2006,457,2774,internal,1
138,AfricanDB,CPV,Sub-Saharan Africa,No,430.0,0.0,2500000.0,2004,2005,2005,2007,437,446,internal,0
139,AfricanDB,CPV,Sub-Saharan Africa,No,310.0,0.0,7070882.5,2002,2010,2010,2011,350,2933,internal,1
